LAUS Code,State FIPS Code,County FIPS Code,County Name,State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Geolocation
CN2611100000000,26,111,Midland County,MI,01/01/2014 12:00:00 AM,41572,39020,2552,6.1,"Midland County, MI
(43.623616, -84.225536)"
CN2122700000000,21,227,Warren County,KY,01/01/2014 12:00:00 AM,59412,56114,3298,5.6,"Warren County, KY
(38.4925, -82.9786)"
CN2815700000000,28,157,Wilkinson County,MS,01/01/2014 12:00:00 AM,2832,2508,324,11.4,"Wilkinson County, MS
(31.2222, -91.238899)"
CN1903100000000,19,031,Cedar County,IA,01/01/2014 12:00:00 AM,10961,10535,426,3.9,"Cedar County, IA
(42.5406, -92.440804)"
CN2018900000000,20,189,Stevens County,KS,01/01/2014 12:00:00 AM,3369,3268,101,3,"Stevens County, KS
(39.887199, -96.098602)"
CN1902700000000,19,027,Carroll County,IA,01/01/2014 12:00:00 AM,11262,10903,359,3.2,"Carroll County, IA
(43.066415, -92.672524)"
CN2018500000000,20,185,Stafford County,KS,01/01/2014 12:00:00 AM,2165,2084,81,3.7,"Stafford County, KS
(39.767203, -101.801403)"
CN1817100000000,18,171,Warren County,IN,01/01/2014 12:00:00 AM,4096,3847,249,6.1,"Warren County, IN
(39.907501, -85.633904)"
CN2009700000000,20,097,Kiowa County,KS,01/01/2014 12:00:00 AM,1351,1307,44,3.3,"Kiowa County, KS
(37.20508, -100.702725)"
CN2206900000000,22,069,Natchitoches Parish,LA,01/01/2014 12:00:00 AM,16309,14994,1315,8.1,"Natchitoches Parish, LA
(31.753482, -93.087377)"
CN1812300000000,18,123,Perry County,IN,01/01/2014 12:00:00 AM,9177,8642,535,5.8,"Perry County, IN
(39.394278, -86.562462)"
CN1806100000000,18,061,Harrison County,IN,01/01/2014 12:00:00 AM,19040,17979,1061,5.6,"Harrison County, IN
(38.212238, -86.126305)"
CN2500100000000,25,001,Barnstable County,MA,01/01/2014 12:00:00 AM,111419,103497,7922,7.1,"Barnstable County, MA
(41.700001, -70.300003)"
CN2017300000000,20,173,Sedgwick County,KS,01/01/2014 12:00:00 AM,247317,234034,13283,5.4,"Sedgwick County, KS
(37.917278, -97.427134)"
CN2202300000000,22,023,Cameron Parish,LA,01/01/2014 12:00:00 AM,3447,3277,170,4.9,"Cameron Parish, LA
(29.798063, -93.328273)"
CN2903500000000,29,035,Carter County,MO,01/01/2014 12:00:00 AM,2567,2339,228,8.9,"Carter County, MO
(36.190846, -89.65555)"
CN2016700000000,20,167,Russell County,KS,01/01/2014 12:00:00 AM,3842,3707,135,3.5,"Russell County, KS
(38.91279, -101.178055)"
CN2120300000000,21,203,Rockcastle County,KY,01/01/2014 12:00:00 AM,6891,6371,520,7.5,"Rockcastle County, KY
(37.210154, -86.891312)"
CN2400900000000,24,009,Calvert County,MD,01/01/2014 12:00:00 AM,47214,44700,2514,5.3,"Calvert County, MD
(39.063501, -76.935545)"
CN1704500000000,17,045,Edgar County,IL,01/01/2014 12:00:00 AM,9158,8505,653,7.1,"Edgar County, IL
(39.755607, -87.701271)"
CN2704300000000,27,043,Faribault County,MN,01/01/2014 12:00:00 AM,7345,6961,384,5.2,"Faribault County, MN
(44.294758, -93.268448)"
CN2611700000000,26,117,Montcalm County,MI,01/01/2014 12:00:00 AM,27628,25522,2106,7.6,"Montcalm County, MI
(43.418635, -86.362652)"
CN2703300000000,27,033,Cottonwood County,MN,01/01/2014 12:00:00 AM,5558,5267,291,5.2,"Cottonwood County, MN
(44.608848, -95.672422)"
CN2203700000000,22,037,East Feliciana Parish,LA,01/01/2014 12:00:00 AM,8200,7672,528,6.4,"East Feliciana Parish, LA
(32.165298, -93.431099)"
CN1901100000000,19,011,Benton County,IA,01/01/2014 12:00:00 AM,13909,13263,646,4.6,"Benton County, IA
(40.725601, -91.8536)"
CN1700300000000,17,003,Alexander County,IL,01/01/2014 12:00:00 AM,2560,2290,270,10.5,"Alexander County, IL
(42.167247, -88.292002)"
CN2502100000000,25,021,Norfolk County,MA,01/01/2014 12:00:00 AM,365748,347405,18343,5,"Norfolk County, MA
(42.119308, -71.325102)"
CN2700700000000,27,007,Beltrami County,MN,01/01/2014 12:00:00 AM,23218,21981,1237,5.3,"Beltrami County, MN
(47.542664, -96.531204)"
CN2109700000000,21,097,Harrison County,KY,01/01/2014 12:00:00 AM,8429,7925,504,6,"Harrison County, KY
(38.088176, -85.066755)"
CN1606300000000,16,063,Lincoln County,ID,01/01/2014 12:00:00 AM,2606,2457,149,5.7,"Lincoln County, ID
(43.512337, -111.964157)"
CN1916900000000,19,169,Story County,IA,01/01/2014 12:00:00 AM,56811,55159,1652,2.9,"Story County, IA
(42.185863, -93.591059)"
CN2113300000000,21,133,Letcher County,KY,01/01/2014 12:00:00 AM,7249,6356,893,12.3,"Letcher County, KY
(37.145, -82.959198)"
CN2907500000000,29,075,Gentry County,MO,01/01/2014 12:00:00 AM,3650,3445,205,5.6,"Gentry County, MO
(40.331803, -94.420486)"
CN1712700000000,17,127,Massac County,IL,01/01/2014 12:00:00 AM,6337,5832,505,8,"Massac County, IL
(42.361912, -89.031797)"
CN2606500000000,26,065,Ingham County,MI,01/01/2014 12:00:00 AM,145281,136204,9077,6.2,"Ingham County, MI
(42.55675, -84.303019)"
CN2118900000000,21,189,Owsley County,KY,01/01/2014 12:00:00 AM,1179,1056,123,10.4,"Owsley County, KY
(37.096901, -82.888603)"
CN2905100000000,29,051,Cole County,MO,01/01/2014 12:00:00 AM,39817,37829,1988,5,"Cole County, MO
(39.198042, -94.504054)"
CN2804300000000,28,043,Grenada County,MS,01/01/2014 12:00:00 AM,9287,8617,670,7.2,"Grenada County, MS
(33.521468, -90.192849)"
CN1916700000000,19,167,Sioux County,IA,01/01/2014 12:00:00 AM,20198,19601,597,3,"Sioux County, IA
(43.075969, -96.175468)"
CN2201900000000,22,019,Calcasieu Parish,LA,01/01/2014 12:00:00 AM,94670,89087,5583,5.9,"Calcasieu Parish, LA
(31.089399, -92.711403)"
CN2100900000000,21,009,Barren County,KY,01/01/2014 12:00:00 AM,18730,17556,1174,6.3,"Barren County, KY
(38.264397, -85.667397)"
